trace_id,fieldrep_id,treatment_group,AUC,n_timepoints,metric
cca1,A,cc,0.07916717371947798,9,metabolism_per_area_mm2_measurement
cca10,A,cc,0.07461825005917569,9,metabolism_per_area_mm2_measurement
cca3,A,cc,0.11285487513674836,9,metabolism_per_area_mm2_measurement
cca5,A,cc,0.03979692626887028,9,metabolism_per_area_mm2_measurement
cca6,A,cc,0.05391143816282942,9,metabolism_per_area_mm2_measurement
cca9,A,cc,0.2709136357186927,9,metabolism_per_area_mm2_measurement
ccb11,B,cc,0.12969703713833383,9,metabolism_per_area_mm2_measurement
ccb12,B,cc,0.07515104840043615,9,metabolism_per_area_mm2_measurement
ccb13,B,cc,0.08850700163711353,9,metabolism_per_area_mm2_measurement
ccb14,B,cc,0.1532377090013188,9,metabolism_per_area_mm2_measurement
ccb15,B,cc,0.09119147813866363,9,metabolism_per_area_mm2_measurement
ccb16,B,cc,0.1455374655997734,9,metabolism_per_area_mm2_measurement
ccc1,C,cc,0.06854314770679341,9,metabolism_per_area_mm2_measurement
ccc2,C,cc,0.06796986649198175,9,metabolism_per_area_mm2_measurement
ccc3,C,cc,0.03473076671839368,9,metabolism_per_area_mm2_measurement
ccc4,C,cc,0.06459791834160747,9,metabolism_per_area_mm2_measurement
ccc5,C,cc,0.04747212265623425,9,metabolism_per_area_mm2_measurement
ccc7,C,cc,0.04330564849996033,9,metabolism_per_area_mm2_measurement
ccc8,C,cc,0.051594587872513024,9,metabolism_per_area_mm2_measurement
ccd12,D,cc,0.06296985317845266,9,metabolism_per_area_mm2_measurement
ccd13,D,cc,0.0513223221925094,9,metabolism_per_area_mm2_measurement
ccd16,D,cc,0.09417178656194791,9,metabolism_per_area_mm2_measurement
cpa1,A,cp,0.013114159686240807,9,metabolism_per_area_mm2_measurement
cpa3,A,cp,-0.010491979923267395,9,metabolism_per_area_mm2_measurement
cpa4,A,cp,-0.07431683813757697,9,metabolism_per_area_mm2_measurement
cpa6,A,cp,0.6124729230359875,9,metabolism_per_area_mm2_measurement
cpa7,A,cp,-0.01598080827670189,9,metabolism_per_area_mm2_measurement
cpa9,A,cp,-0.11478764036858452,9,metabolism_per_area_mm2_measurement
cpb11,B,cp,-0.019080732388775664,9,metabolism_per_area_mm2_measurement
cpb12,B,cp,-0.01866589226868373,9,metabolism_per_area_mm2_measurement
cpc1,C,cp,0.12061072619957586,9,metabolism_per_area_mm2_measurement
cpc3,C,cp,0.05130374038857315,9,metabolism_per_area_mm2_measurement
cpc5,C,cp,0.030499400210782103,9,metabolism_per_area_mm2_measurement
cpc7,C,cp,0.020616038836401108,9,metabolism_per_area_mm2_measurement
cpc8,C,cp,0.20323489337584424,9,metabolism_per_area_mm2_measurement
